Player,Team,Guaranteed,Salary 2018-19,Salary 2019-20,Salary 2020-21,Salary 2021-22,Salary 2022-23,Salary 2023-24
A.J. Hammons,MIA,1050262,350088,350087,350087,0,0,0
Aaron Gordon,ORL,76000000,21590909,19863636,18136364,16409091,0,0
Aaron Holiday,IND,4151160,1911960,2239200,2345640,3980551,0,0
Abdel Nader,OKC,2996762,1378242,1618520,1752950,0,0,0
Al Horford,BOS,28928710,28928710,0,0,0,0,0
Al Jefferson,IND,4000000,4000000,0,0,0,0,0
Al-Farouq Aminu,POR,6957105,6957105,0,0,0,0,0
Alec Burks,SAC,11536515,11536515,0,0,0,0,0
Alex Len,ATL,8510000,4350000,4160000,0,0,0,0
Alexis Ajinça,LAC,5285394,5285394,0,0,0,0,0
Alfonzo McKinnie,GSW,1349383,1349383,1588231,0,0,0,0
Alize Johnson,IND,2255316,838464,1416852,0,0,0,0
Allen Crabbe,BRK,18500000,18500000,18500000,0,0,0,0
Allonzo Trier,NYK,6933100,3382000,3551100,0,0,0,0
Amir Johnson,PHI,2393887,2393887,0,0,0,0,0
Anderson Varejão,POR,5740035,1913345,1913345,1913345,0,0,0
Andre Drummond,DET,52527282,25434263,27093019,28751775,0,0,0
Andre Iguodala,GSW,16000000,16000000,17185185,0,0,0,0
Andre Ingram,LAL,76236,76236,0,0,0,0,0
Andre Roberson,OKC,20740741,10000000,10740741,0,0,0,0
Andrew Bogut,GSW,2393887,2393887,0,0,0,0,0
Andrew Harrison,MEM,200000,200000,0,0,0,0,0
Andrew Nicholson,POR,17066574,2844429,2844429,2844429,2844429,2844429,2844429
Andrew Wiggins,MIN,146667250,25467250,27270000,29290000,31310000,33330000,0
Anfernee Simons,POR,3985080,1835520,2149560,2252040,3938818,0,0
Ante Žižić,CLE,4234560,1952760,2281800,3872215,0,0,0
Anthony Davis,NOP,25434263,25434263,27093019,28751775,0,0,0
Anthony Tolliver,MIN,5750000,5750000,0,0,0,0,0
Antonio Blakeney,CHI,2937614,1349383,1588231,0,0,0,0
Aron Baynes,BOS,5193600,5193600,5453280,0,0,0,0
Austin Rivers,HOU,3329641,1155323,0,0,0,0,0
Austin Rivers,PHO,12000000,12000000,0,0,0,0,0
Avery Bradley,MEM,14000000,12000000,2000000,0,0,0,0
B.J. Johnson,ATL,94742,94742,0,0,0,0,0
B.J. Johnson,SAC,47371,47371,0,0,0,0,0
Bam Adebayo,MIA,6409920,2955840,3454080,5115492,0,0,0
Ben McLemore,SAC,5460000,5460000,0,0,0,0,0
Ben Moore,IND,160096,160096,0,0,0,0,0
Ben Simmons,PHI,184198450,6434520,8113930,29250000,31590000,33930000,36270000
Billy Garrett,NYK,42634,42634,0,0,0,0,0
Bismack Biyombo,CHO,34000000,17000000,17000000,0,0,0,0
Blake Griffin,DET,102919892,32088932,34234964,36595996,38957028,0,0
Boban Marjanović,PHI,7000000,7000000,0,0,0,0,0
Bobby Portis,WAS,2494346,2494346,0,0,0,0,0
Bogdan Bogdanović,SAC,17529386,9000000,8529386,0,0,0,0
Bojan Bogdanović,IND,10500000,10500000,0,0,0,0,0
Brad Wanamaker,BOS,2284161,838464,0,0,0,0,0
Bradley Beal,WAS,81279057,25434263,27093019,28751775,0,0,0
Brandon Ingram,LAL,5757120,5757120,7265485,0,0,0,0
Brandon Knight,CLE,30275000,14631250,15643750,0,0,0,0
Brook Lopez,MIL,55382000,3382000,0,0,0,0,0
Bruce Brown,DET,2255316,838464,1416852,1663861,0,0,0
