Team,Conf,Div,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,PER_top5,PER_top10,PER_mid5,ORtg_top5,ORtg_top10,ORtg_mid5,DRtg_top5,DRtg_top10,DRtg_mid5
Milwaukee Bucks,E,C,0.732,8.87,114.23,105.76,8.47,8.05,113.89,106.23,7.66,99.1,157.5,58.4,580.0,1155.0,575.0,521,1058,537
Golden State Warriors,W,P,0.695,6.46,116.63,110.24,6.39,6.42,116.6,110.24,6.37,91.19999999999999,157.99999999999997,66.8,583.0,1182.0,599.0,547,1103,556
Toronto Raptors,E,A,0.7070000000000001,6.09,113.99,108.0,5.99,5.49,113.78,108.4,5.38,92.7,153.7,61.0,586.0,1126.0,540.0,533,1075,542
Utah Jazz,W,NW,0.61,5.26,111.35,106.11,5.24,5.29,111.23,105.94,5.28,81.3,146.6,65.3,559.0,1111.0,552.0,528,1058,530
Houston Rockets,W,SW,0.6459999999999999,4.77,116.25,111.43,4.82,4.97,116.45,111.43,5.03,95.5,158.3,62.8,591.0,1164.0,573.0,550,1110,560
Portland Trail Blazers,W,NW,0.6459999999999999,4.2,115.45,111.07,4.38,4.44,115.63,111.01,4.62,88.9,156.3,67.4,573.0,1159.0,586.0,550,1105,555
Denver Nuggets,W,NW,0.659,3.95,113.76,109.62,4.14,4.2,113.74,109.35,4.39,90.60000000000001,153.0,62.4,586.0,1145.0,559.0,545,1092,547
Boston Celtics,E,A,0.598,4.44,112.78,108.35,4.43,3.9,112.57,108.69,3.88,86.9,159.89999999999998,73.0,570.0,1140.0,570.0,538,1079,541
Oklahoma City Thunder,W,NW,0.598,3.4,110.85,107.53,3.31,3.56,110.71,107.22,3.49,89.4,138.3,48.900000000000006,563.0,1108.0,545.0,532,1072,540
Indiana Pacers,E,C,0.585,3.33,110.62,107.23,3.39,2.76,110.31,107.5,2.8,78.0,149.79999999999998,71.8,560.0,1099.0,539.0,532,1071,539
Philadelphia 76ers,E,A,0.622,2.7,113.21,110.58,2.64,2.26,113.16,110.97,2.19,94.4,154.7,60.300000000000004,576.0,1123.0,547.0,546,1097,551
San Antonio Spurs,W,SW,0.585,1.68,113.3,111.55,1.75,1.81,113.3,111.42,1.88,85.2,154.5,69.3,563.0,1159.0,596.0,558,1113,555
Los Angeles Clippers,W,P,0.585,0.85,113.14,112.33,0.81,1.09,113.29,112.22,1.06,90.8,148.2,57.400000000000006,586.0,1124.0,538.0,558,1115,557
Orlando Magic,E,SE,0.512,0.71,109.46,108.82,0.65,0.28,109.26,109.05,0.21,84.0,150.6,66.6,556.0,1117.0,561.0,544,1078,534
Miami Heat,E,SE,0.47600000000000003,-0.23,108.22,108.35,-0.13,-0.45,108.03,108.39,-0.36,74.9,148.6,73.7,549.0,1084.0,535.0,539,1075,536
Brooklyn Nets,E,A,0.512,-0.07,110.3,110.36,-0.06,-0.4,110.15,110.56,-0.41,79.8,136.1,56.3,573.0,1113.0,540.0,553,1098,545
Detroit Pistons,E,C,0.5,-0.24,109.93,110.13,-0.2,-0.55,109.86,110.38,-0.53,77.2,134.2,57.00000000000001,552.0,1097.0,545.0,545,1099,554
Sacramento Kings,W,P,0.47600000000000003,-1.12,111.17,112.19,-1.02,-0.81,111.29,112.0,-0.71,83.10000000000001,153.70000000000002,70.6,565.0,1108.0,543.0,556,1111,555
Dallas Mavericks,W,SW,0.402,-1.28,110.19,111.41,-1.22,-0.86,110.29,111.08,-0.79,76.89999999999999,139.0,62.099999999999994,576.0,1107.0,531.0,553,1118,565
Minnesota Timberwolves,W,NW,0.439,-1.5,112.04,113.54,-1.51,-1.02,112.31,113.32,-1.01,80.2,155.5,75.30000000000001,558.0,1124.0,566.0,562,1132,570
New Orleans Pelicans,W,SW,0.402,-1.33,111.85,113.1,-1.25,-1.1,111.98,112.98,-1.01,90.60000000000001,149.9,59.29999999999999,566.0,1092.0,526.0,562,1132,570
Los Angeles Lakers,W,P,0.451,-1.72,108.52,110.18,-1.66,-1.32,108.46,109.71,-1.26,75.2,143.8,68.60000000000001,540.0,1079.0,539.0,554,1095,541
Charlotte Hornets,E,SE,0.47600000000000003,-1.1,112.1,113.16,-1.06,-1.31,112.11,113.41,-1.3,76.60000000000001,154.60000000000002,78.0,560.0,1121.0,561.0,561,1126,565
Memphis Grizzlies,W,SW,0.402,-2.6,106.96,109.66,-2.7,-2.08,106.93,109.09,-2.17,76.1,155.4,79.3,541.0,1079.0,538.0,542,1079,537
Washington Wizards,E,SE,0.39,-2.9,111.72,114.56,-2.84,-3.3,111.72,114.97,-3.25,82.5,153.8,71.3,588.0,1114.0,526.0,573,1143,570
Atlanta Hawks,E,SE,0.354,-6.02,108.71,114.41,-5.7,-6.06,108.83,114.59,-5.76,71.60000000000001,144.4,72.8,530.0,1088.0,558.0,572,1139,567
Chicago Bulls,E,C,0.268,-8.41,105.45,113.94,-8.49,-8.32,105.49,113.9,-8.41,75.7,130.79999999999998,55.1,548.0,1043.0,495.0,567,1134,567
Phoenix Suns,W,P,0.23199999999999998,-9.34,106.29,115.55,-9.26,-8.61,106.59,115.11,-8.52,78.4,144.7,66.3,540.0,1061.0,521.0,576,1148,572
New York Knicks,E,A,0.207,-9.21,105.13,114.39,-9.26,-8.92,105.31,114.3,-8.98,60.2,135.60000000000002,75.39999999999999,515.0,1064.0,549.0,575,1131,556
Cleveland Cavaliers,E,C,0.23199999999999998,-9.61,108.5,118.54,-10.04,-9.39,108.83,118.64,-9.82,77.3,147.5,70.2,551.0,1107.0,556.0,586,1173,587
